,titleabstract,decision
2,[Serum amino acid levels in patients with cancer of the larynx treated by roentgen rays and Co-60 radioisotope],Included
6,Effects of radon on the development of malignant neoformations of the lungs in residents of the Sverdlovsk region,Included
19,RBE values for regrowth of C3H mouse mammary carcinomas after single doses of cyclotron neutrons or X-rays,Included
23,[Enzyme activity in irradiated skin. Cytochrome oxidase and monoamine oxidase],Included
24,Mouse-strain differences in endogenous colony formation after irradiation in hypoxia,Included
32,Cellular changes in the conjunctiva after strontium 90 treatment for pterygium,Included
42,"Head and neck radiotherapy does not increase gelatinase (metalloproteinase-2 and -9) expression or activity in teeth irradiated in vivo. OBJECTIVE: Recent studies suggested that head and neck radiotherapy increases active forms of matrix metalloproteinases (MMPs) in the dentin-enamel junction (DEJ), leading to enamel delamination and radiation-related caries. This study aimed to assess the expression and activity of the gelatinases MMP-2 and MMP-9 in the DEJ and dentin-pulp complex tissues of teeth irradiated in vivo., STUDY DESIGN: Thirty-six teeth were studied, including 19 irradiated and 17 non-irradiated controls. In situ zymography was used to investigate the gelatinolytic activity in the micromorphologic components of enamel, DEJ, dentin-pulp complex, and caries. Immunohistochemical analysis was conducted on the demineralized samples to assess MMP-2 and MMP-9 expression levels in the DEJ, dentin-pulp complex components, and caries., RESULTS: No statistically significant differences were detected between groups in gelatinolytic activity or in MMP-2 expression levels (P > .05). Odontoblast MMP-9 expression was reduced in the irradiated group (P = .02)., CONCLUSIONS: The study rejected the hypothesis that MMP-2 and MMP-9 would be overexpressed or more activated in the DEJ and dentin-pulp complex of irradiated teeth. Direct effects of radiation should not be regarded as an independent factor for explaining radiation-related caries onset and progression. Copyright © 2017 Elsevier Inc. All rights reserved.",Included
62,"[Effects of 10-day long exposure to gamma irradiation at low doses on bone marrow cells in mice]. Effects of ten day long exposure to gamma-irradiation at low doses (mean dose rate of 1.5-2.0 m Gy/day, total dose of 15 m Gy) on hemopoietic (CFU-S) and stromal (CFU-F) progenitor cells from murine bone marrow were examined. The CFU-F content measured as in vitro fibroblastic colony number showed 1.5-4.5-fold increase. Additionally, the size of ectopic marrow transplants evaluated by counting myelokariocytes and CFU-S numbers also increased. No significant changes of CFU-S proliferation rate were found.",Included
65,Role of the direct action of radiation in the mechanism of development of mammary gland tumors. The role of the direct action of radiation in the genesis of mammary gland tumors in animals of both sexes was studied in experiments on noninbred albino rats. In two series of experiments the anterior or posterior half of the rat's body was irradiated with X rays in doses of 200 to 1000 rad. Tumors of the mammary glands appeared considerably earlier and were more numerous in the irradiated parts of the body of both females and males than in the unirradiated glands or in control animals. Females developed mammary gland tumors after exposure to smaller doses and in a higher proportion of cases than males.,Included
76,[Occupations and leukemia],Included
90,"Effect of X-irradiation on epidermal immune function: decreased density and alloantigen-presenting capacity of Ia+ Langerhans cells and impaired production of epidermal cell-derived thymocyte activating factor (ETAF). The mechanisms involved in the modulation of cutaneous immune responses by UV radiation have been extensively investigated; by contrast, few studies have addressed the effects of x-irradiation on epidermal immune function. We therefore investigated the effect of x-irradiation of mice on: (a) the density of epidermal Ia+ Langerhans cells (LC) in immunofluorescence studies, (b) epidermal cell (EC) allostimulatory capacity in the allogeneic EC-lymphocyte reaction (ELR), and (c) production of epidermal cell-derived thymocyte activating factor (ETAF). C3H/He and BALB/c mice were irradiated with 900, 1,800, 2,700, or 3,600 rad from a 137Cs source, and sacrificed 10 h or 3 days later. X-irradiation of mice 10 h previously only slightly decreased the density of epidermal Ia+ LC and did not affect the capacity of their EC to stimulate allogeneic responder lymphocytes in the ELR. X-irradiation of mice 3 days previously, however, resulted in a dose-dependent decrease in the density of Ia+ LC. This decrease was accompanied by a substantial reduction in EC allostimulatory capacity in the ELR at all doses of x-irradiation. ETAF production by cultured EC from mice x-irradiated 3 days previously was also found to be diminished at all doses of x-irradiation. Trypan blue exclusion studies demonstrated that the observed decreases in EC allostimulatory capacity and ETAF production were not the result of a generalized lethal effect of x-irradiation on EC. The reduction in EC allostimulatory capacity following in vivo x-irradiation could not be reversed by addition of exogenous ETAF or interleukin-1 in the ELR. Taken together, these results indicate that x-irradiation decreases the density of Ia+ LC, impairs LC alloantigen-presenting function, and reduces ETAF production. Thus cutaneous x-irradiation may affect inflammatory and neoplastic processes not only by its antimitotic activity, but also by a direct effect on EC which subserve immunologic functions.",Included
132,Telecobalt therapy as an unique treatment of laryngeal neoplasia,Included
150,"Cellular immunity indices in rectal cancer under surgical and combined treatment. The dynamics of cell-mediated immunity indices in 83 patients with rectal tumors who underwent surgery or received combined treatment (preoperative radiation + surgery) was followed. Cellular immunity was assessed on the basis of PHA-induced blastogenic reaction of lymphocytes (BRL) and spontaneous rosette-formation. In rectal tumor patients, particularly at stage IV, the level of PHA-induced BRL and the total number of rosette-forming cells (RFC) were lower than in healthy donors. Surgery did not produce any significant changes in cell-mediated immunity parameters: level of PHA-induced BRL decreased by 16,7%, while total RFC number increased by 17.2% in (mostly low-affinity forms). Preoperative radiation resulted in a significant decrease in lymphocyte ability to undergo PHA-induced blast-transformation (45%) and spontaneous rosette formation, high-affinity lymphocytes being most sensitive to ionizing radiation. Their fraction decreased by half.",Included
152,"A five-year inhalation study with natural uranium dioxide (UO 2) dust. I. Retention and biologic effect in the monkey, dog and rat",Included
174,Radiation therapy for augmenting the efficacy of immunotherapy in advanced non-small cell lung cancer: A case-controlled study,Included
175,X-ray dose response for mutation to fructose utilisation in cultured diploid human fibroblasts,Included
202,X-ray induced fragmentation of the organizer of a lampbrush chromosome differentiation in Pleurodeles waltlii,Included
205,"Sex and tissue-specific differences in low-dose radiation-induced oncogenic signaling. PURPOSE: The possible adverse health effects of low-dose radiation (LDR) exposure constitute a growing concern. Clinically and environmentally relevant exposures occur predominantly under chronic conditions, notwithstanding that most studies of LDR effects have been performed using a single acute exposure. Sex- and tissue-specificity of the LDR-induced changes have not been considered before. We investigated LDR-related expression patterns in muscle, liver and spleen of male and female mice subjected to acute and chronic LDR exposure. Genes involved in oncogenic signaling were of specific interest, as radiation is a well-known carcinogen., MATERIALS AND METHODS: We analyzed the expression pattern of genes coding for growth factors and growth-factor receptors, cytoplasmic serine/threonine protein kinases, G-proteins and nuclear DNA-binding proteins, and other important components of oncogenic signaling., RESULTS: We found sex- and tissue-specific changes in the expression of Ras superfamily members (Nras, Rab2, Rab34, Vav2), protein kinase C (PKC) isoforms (PKCbeta, PKCmu), AP-1 factor components (Jun, JunB and FosB), Wnt signaling pathway members as well as in a variety of other cellular proto-oncogenes and oncogenes. Importantly, Western blot analysis of JunB, PKCmu and Rab2 proteins supported the transcriptomic data., CONCLUSIONS: Substantially different protein levels were observed in all three tissues (muscle, spleen and liver) of acutely and chronically irradiated female and male animals. Based on the obtained data and available literature, we discuss several possible mechanisms that may contribute to radiation-induced carcinogenesis in various tissues of males and females. From our results we could identify the genes that may serve as sex- and tissue-specific biomarkers of the LDR exposure.",Included
218,"Identification of ERp29 as a biomarker for predicting nasopharyngeal carcinoma response to radiotherapy. Radioresistance continues to be a major problem in the treatment of nasopharyngeal carcinoma (NPC). This study aimed to identify novel proteins associated with NPC radio-resistance. We used a mass spectrometry driven-proteomic strategy to identify novel proteins associated with NPC radio-resistance, and differential proteins were subsequently processed by bio-informatic analysis. As a result, twelve proteins were identified with aberrant expression in radioresistant (RR) NPC tissues compare to radiosensitive (RS) NPC tissues. Among these proteins, ERp29, Mn-SOD, HSP27 and GST omega1 were found to be significantly up-regulated in RR NPC tissues, and ERp29 was selected for further validation. Immunohistochemistry analysis confirmed that ERp29 was overexpressed in RR NPC tissues compared with RS NPC tissues. To prove the role of ERp29 in the induction of NPC radioresistance, ERp29 was down-regulated in the ERp29 enriched NPC cells CNE-1 and 6-10B by specific shRNA. Radiosensitivity was measured using cell proliferation assay and clonogenic survival assay, and cell apoptosis was measured using flow cytometric analysis. We found that ERp29 knockdown attenuated CNE-1 and 6-10B cell radioresistance and enhanced cell apoptosis. These results suggest that ERp29 associates with radioresistance in NPC, and ERp29 could be a potential biomarker for predicting NPC response to radiotherapy.",Included
220,"Gamma-radiation sensitivity and risk of glioma. BACKGROUND: About 9% of human cancers are brain tumors, of which 90% are gliomas. gamma-Radiation has been identified as a risk factor for brain tumors. In a previous pilot study, we found that lymphocytes from patients with glioma were more sensitive to gamma-radiation than were lymphocytes from matched control subjects. In this larger case-control study, we compared the gamma-radiation sensitivity of lymphocytes from glioma patients with those from control subjects and investigated the association between mutagen sensitivity and the risk for developing glioma., METHODS: We used a mutagen sensitivity assay (an indirect measure of DNA repair activity) to assess chromosomal damage. We gamma-irradiated (1.5 Gy) short-term lymphocyte cultures from 219 case patients with glioma and from 238 healthy control subjects frequency matched by age and sex. After irradiation, cells were cultured for 4 hours, and then Colcemid was added for 1 hour to arrest cells in mitosis. Fifty metaphases were randomly selected for each sample and scored for chromatid breaks. All statistical tests were two-sided., RESULTS: We observed a statistically significantly higher frequency of chromatid breaks per cell from case patients with glioma (mean = 0.55; 95% confidence interval [CI] = 0.50 to 0.59) than from control subjects (mean = 0.44; 95% CI = 0.41 to 0.48) (P<.001). Using 0.40 (the median number of chromatid breaks per cell in control subjects) as the cut point for defining mutagen sensitivity and adjusting for age, sex, and smoking status, we found that mutagen sensitivity was statistically significantly associated with an increased risk for glioma (odds ratio = 2.09; 95% CI = 1.43 to 3.06). When the data were divided into tertiles, the relative risk for glioma increased from the lowest tertile to the highest tertile (trend test, P<.001)., CONCLUSION: gamma-Radiation-induced mutagen sensitivity of lymphocytes may be associated with an increased risk for glioma, a result that supports our earlier preliminary findings.",Included
221,Electrocardiographic changes in esophageal cancer patients receiving radiation therapy in continuous and split courses,Included
222,"Different patterns of allelic imbalance in sporadic tumors and tumors associated with long-term exposure to gamma-radiation. The study aimed to reveal cancer related mutations in DNA repair and cell cycle genes associated with chronic occupational exposure to gamma-radiation in personnel of the Siberian Group of Chemical Enterprises (SGCE). Mutations were analyzed by comparing genotypes of malignant tumors and matched normal tissues of 255 cancer patients including 98 exposed to external gamma-radiation (mean dose 128.1+/-150.5mSv). Also a genetic association analysis was carried out in a sample of 149 cancer patients and 908 healthy controls occupationally exposed to gamma-radiation (153.2+/-204.6mSv and 150.5+/-211.2mSv, respectively). Eight SNPs of genes of DNA excision repair were genotyped (rs13181, rs1052133, rs1042522, rs2305427, rs4244285, rs1045642, rs1805419 and rs1801133). The mutation profiles in heterozygous loci for selected SNP were different between sporadic tumors and tumors in patients exposed to radiation. In sporadic tumors, heterozygous genotype Arg/Pro of the rs1042522 SNP mutated into Arg/0 in 15 cases (9.6%) and 0/Pro in 14 cases (8.9%). The genotype Lys/Gln of the rs13181 SNP mutated into Lys/0 and 0/Gln in 9 and 4 cases, respectively. In tumors of patients exposed to low-level radiation, the rs1042522 Arg/0 mutated genotype was found in 12 cases (12.1%), while in 2 cases (2%) 0/Pro mutation was observed. Finally, the rs13181 0/Gln mutated genotype was observed in 15 cases (16,5%) . Thus, our study showed the difference in patterns of allelic imbalance in tumors appeared under low-level radiation exposure and spontaneous tumors for selected SNPs. This suggests different mechanisms of inactivation of heterozygous genotypes in sporadic and radiation-induced tumors. Copyright © 2015 Elsevier B.V. All rights reserved.",Included
226,"Estimation of dose in cancer patients treated with fractionated radiotherapy using translocation, dicentrics and micronuclei frequency in peripheral blood lymphocytes. The frequency of translocation, dicentrics (DC) and micronuclei (MN) was studied in blood samples exposed in vitro to 60Co gamma radiation and cervical cancer patients undergoing fractionated radiotherapy. The samples exposed under in vitro condition showed that the frequency of translocation and dicentric followed Poisson distribution ('u' varied between -0.04 and +1.41 for translocation and between -0.09 and +1.81 for DC) and that obtained with MN follow over dispersion ('u' varied between +2.04 and +9.28). However, the cervical cancer patients undergoing radiotherapy showed over dispersion for all these three aberrations (DC, MN and translocation). The frequencies of aberrations obtained in cancer patients were found to be lower than those obtained for in vitro exposure for doses more than 2 Gy equivalent whole body dose (EWBD). The dose-response curves were constructed using the frequencies of DC, MN and translocation as a function of EWBD. Doses as measured from the dose response curves were compared with the estimated dose in order to check whether the measured and estimated doses agree. The percent variation between the doses measured from aberration frequencies and that of the estimated dose was lower with translocation (10.8+/-7.41%) compared to those obtained with DC (38.08+/-31.85%) and MN (47.19+/-31.80%). Copyright (C) 1999 Elsevier Science B.V.",Included
241,"Deficiency in PER proteins has no effect on the rate of spontaneous and radiation-induced carcinogenesis. There is a growing body of evidence that components of the circadian clock are involved in modulation of numerous signaling pathways, and that clock deregulation due to environmental or genetic factors contributes to the development of various pathologies, including cancer. Previous work performed in tissue culture and in in vivo mouse models defined mammalian PERIOD proteins as tumor suppressors, although some experimental inconsistencies (the use of mice on mixed genetic background, lack of sexual discrimination) did not allow a definitive conclusion. To address this issue in a systematic way, we performed a detailed analysis comparing the incidence of tumor development after low-dose ionizing radiation in male and female wild-type, Per1-/-, and Per2-/- mice. We showed that in contrast to previous reports deficiency in either Per1 or Per2 genes by itself does not make mice more tumor-prone; moreover, some of the long-term effects of ionizing radiation in Per2-deficient mice are reminiscent more of accelerated aging rather than tumor-prone phenotype. Our histopathological analysis also revealed significant sexual dimorphism both in the rate of radiation-induced tumorigenesis and in the spectrum of tumors developed, which underscores the importance of using sex-matched experimental groups for in vivo studies. Based on our results, we suggest that the role of PER proteins as bone fide tumor suppressors needs to be reevaluated. © 2013 Landes Bioscience.",Included
